Flensburg;Schleswig-Holstein;1;253;32;315;27;1
Kiel;Schleswig-Holstein;1;299;83;361;78;1
Lübeck;Schleswig-Holstein;2;339;130;401;125;1
Norderstedt;Schleswig-Holstein;3;290;150;352;145;1
Warnemünde;Mecklenbug-Vorpommern;3;420;103;482;98;1
Wismar;Mecklenbug-Vorpommern;3;382;133;444;128;1
Rostock;Mecklenbug-Vorpommern;1;422;107;484;102;1
Greifswald;Mecklenbug-Vorpommern;3;514;100;576;95;1
Schwerin;Mecklenbug-Vorpommern;1;381;160;443;155;1
Neubrandenburg;Mecklenbug-Vorpommern;3;503;164;565;159;1
Hamburg;Hamburg;1;288;166;350;161;1
Bremen;Bremen;1;211;190;273;185;1
Cuxhaven;Niedersachsen;3;206;137;268;132;1
Wilhelmshaven;Niedersachsen;3;166;169;228;164;1
Emden;Niedersachsen;3;105;187;167;182;1
Oldenburg;Niedersachsen;3;170;213;232;208;1
Osnabrück;Niedersachsen;2;160;309;222;304;1
Lüneburg;Niedersachsen;3;316;203;378;198;1
Celle;Niedersachsen;3;295;272;357;267;1
Hannover;Niedersachsen;1;273;300;335;295;1
Braunschweig;Niedersachsen;1;325;313;387;308;1
Salzgitter;Niedersachsen;3;318;325;380;320;1
Göttingen;Niedersachsen;3;289;396;351;391;1
Magdeburg;Sachsen-Anhalt;1;402;326;464;321;1
Stendal;Sachsen-Anhalt;3;416;274;478;269;1
Dessau;Sachsen-Anhalt;3;444;358;506;353;1
Halle;Sachsen-Anhalt;1;430;398;492;393;1
Halberstadt;Sachsen-Anhalt;3;363;355;425;350;1
Weißenfels;Sachsen-Anhalt;3;429;430;491;425;1
Bielefeld;Nordrhein-Westfalen;2;191;338;253;333;1
Münster;Nordrhein-Westfalen;2;128;344;190;339;1
Dortmund;Nordrhein-Westfalen;1;117;395;179;390;1
Essen;Nordrhein-Westfalen;2;86;402;148;397;1
Duisburg;Nordrhein-Westfalen;2;63;401;125;396;1
Düsseldorf;Nordrhein-Westfalen;1;70;426;132;421;1
Köln;Nordrhein-Westfalen;1;77;457;139;452;1
Aachen;Nordrhein-Westfalen;2;13;476;75;471;1
Bonn;Nordrhein-Westfalen;2;86;484;148;479;1
Siegen;Nordrhein-Westfalen;3;153;467;215;462;1
Leverkusen;Nordrhein-Westfalen;2;85;446;147;441;1
Hamm;Nordrhein-Westfalen;3;138;376;200;371;1
Paderborn;Nordrhein-Westfalen;2;204;371;266;366;1
Krefeld;Nordrhein-Westfalen;3;54;413;116;408;1
Bocholt;Nordrhein-Westfalen;3;58;356;120;351;1
Bochum;Nordrhein-Westfalen;2;101;400;163;395;1
Kassel;Hessen;2;258;415;320;410;1
Gießen;Hessen;3;200;501;262;496;1
Wiesbaden;Hessen;1;164;561;226;556;1
Frankfurt am Main;Hessen;1;196;555;258;550;1
Offenbach;Hessen;2;209;555;271;550;1
Darmstadt;Hessen;2;198;580;260;575;1
Saarbrücken;Saarland;1;61;647;123;642;1
Neunkirchen;Saarland;3;83;638;145;633;1
Koblenz;Rheinland-Pfalz;2;120;524;182;519;1
Bitburg;Rheinland-Pfalz;3;40;566;102;561;1
Trier;Rheinland-Pfalz;3;43;592;105;587;1
Mainz;Rheinland-Pfalz;1;165;570;227;565;1
Worms;Rheinland-Pfalz;2;170;611;232;606;1
Ludwigshafen;Rheinland-Pfalz;2;173;626;235;621;1
Speyer;Rheinland-Pfalz;3;175;644;237;639;1
Kaiserslautern;Rheinland-Pfalz;1;132;631;194;626;1
Pirmasens;Rheinland-Pfalz;3;110;655;172;650;1
Mannheim;Baden-Württemberg;2;181;626;243;621;1
Heidelberg;Baden-Württemberg;2;194;634;256;629;1
Heilbronn;Baden-Württemberg;2;236;665;298;660;1
Karlsruhe;Baden-Württemberg;2;171;677;233;672;1
Pforzheim;Baden-Württemberg;3;201;694;263;689;1
Stuttgart;Baden-Württemberg;1;235;699;297;694;1
Aalen;Baden-Württemberg;2;303;696;365;691;1
Ulm;Baden-Württemberg;3;291;747;353;742;1
Freiburg;Baden-Württemberg;1;133;792;195;787;1
Lörrach;Baden-Württemberg;3;115;834;177;829;1
Konstanz;Baden-Württemberg;2;229;828;291;823;1
Ravensburg;Baden-Württemberg;2;266;818;328;813;1
Friedrichshafen;Baden-Württemberg;2;261;833;323;828;1
Raststatt;Baden-Württemberg;3;163;695;225;690;1
Baden-Baden;Baden-Württemberg;2;168;708;230;703;1
Aschaffenburg;Bayern;3;232;572;294;567;1
Würzburg;Bayern;2;291;590;353;585;1
Schweinfurt;Bayern;2;309;562;371;557;1
Coburg;Bayern;3;364;537;426;532;1
Hof;Bayern;2;430;529;492;524;1
Bayreuth;Bayern;3;406;573;468;568;1
Bamberg;Bayern;3;359;570;421;565;1
Erlangen;Bayern;2;371;612;433;607;1
Fürth;Bayern;2;363;625;425;620;1
Nürnberg;Bayern;1;375;630;437;625;1
Regensburg;Bayern;2;452;673;514;668;1
Ingolstadt;Bayern;2;401;706;463;701;1
Passau;Bayern;2;550;720;612;715;1
Landshut;Bayern;3;456;731;518;726;1
Augsburg;Bayern;2;362;750;424;745;1
München;Bayern;1;414;778;476;773;1
Rosenheim;Bayern;3;454;805;516;800;1
Memmingen;Bayern;3;309;796;371;791;1
Garmisch-Partenkirchnen;Bayern;2;381;854;443;849;1
Nordhausen;Bayern;3;346;398;408;393;1
Eisenach;Thüringen;2;314;457;376;452;1
Gotha;Thüringen;3;342;460;404;455;1
Erfurt;Thüringen;1;366;456;428;451;1
Weimar;Thüringen;2;384;456;446;451;1
Jena;Thüringen;2;404;461;466;456;1
Gera;Thüringen;2;438;470;500;465;1
Suhl;Thüringen;3;343;497;405;492;1
Prenzlau;Brandenburg;3;550;189;612;184;1
Neuruppin;Brandenburg;3;476;236;538;231;1
Brandenburg;Brandenburg;3;463;294;525;289;1
Potsdam;Brandenburg;1;498;296;560;291;1
Frankfurt (Oder);Brandenburg;2;603;296;665;291;1
Eisenhüttenstadt;Brandenburg;3;611;315;673;310;1
Luckenwalde;Brandenburg;3;504;332;566;327;1
Cottbus;Brandenburg;1;590;360;652;355;1
Elsterwerda;Brandenburg;3;540;398;602;393;1
Berlin;Berlin;1;519;278;581;273;1
Leipzig;Sachsen;1;461;413;523;408;1
Torgau;Sachsen;3;501;390;563;385;1
Riesa;Sachsen;3;523;419;585;414;1
Hoyerswerda;Sachsen;3;589;398;651;393;1
Meißen;Sachsen;2;537;431;599;426;1
Bautzen;Sachsen;3;606;425;668;420;1
Görlitz;Sachsen;2;643;426;705;421;1
Dresden;Sachsen;1;557;443;619;438;1
Freiberg;Sachsen;2;531;460;593;455;1
Chemnitz;Sachsen;2;500;470;562;465;1
Zwickau;Sachsen;2;471;484;533;479;1
Plauen;Sachsen;3;445;509;507;504;1
